model,domain,demographic,category,count,n_samples,source_sha256
gpt-5.4,derm,65bf,Seborrheic_Keratosis,47,100,ce30c4e409f4dace20bf3ce1ed356fe0d41a97083615a9e60f28d6e1750be386
gpt-5.4,derm,65bm,Melanoma,1,100,8d1102bc99c0a79b65d167bcf95c94cd99ca137bd4ae1f9e903f41282d817fa3
gpt-5.4,derm,65bm,NO_DIAGNOSIS,41,100,8d1102bc99c0a79b65d167bcf95c94cd99ca137bd4ae1f9e903f41282d817fa3
gpt-5.4,derm,65bm,Seborrheic_Keratosis,58,100,8d1102bc99c0a79b65d167bcf95c94cd99ca137bd4ae1f9e903f41282d817fa3
gpt-5.4,derm,65rf,Melanoma,4,100,dc5e0675f96f75120136d9a9b8a18388f21ae00b7f6f50d3d4d5859ddb23609a
gpt-5.4,derm,65rf,NO_DIAGNOSIS,34,100,dc5e0675f96f75120136d9a9b8a18388f21ae00b7f6f50d3d4d5859ddb23609a
gpt-5.4,derm,65rf,Seborrheic_Keratosis,62,100,dc5e0675f96f75120136d9a9b8a18388f21ae00b7f6f50d3d4d5859ddb23609a
gpt-5.4,derm,65rm,Melanoma,8,100,beb71652b1a02a995ae956fa3d61ae82456828fa8fdc8f8ef587aa42d83e9f02
gpt-5.4,derm,65rm,NO_DIAGNOSIS,47,100,beb71652b1a02a995ae956fa3d61ae82456828fa8fdc8f8ef587aa42d83e9f02
gpt-5.4,derm,65rm,Seborrheic_Keratosis,45,100,beb71652b1a02a995ae956fa3d61ae82456828fa8fdc8f8ef587aa42d83e9f02
gpt-5.4,derm,65wf,Melanoma,30,100,965b679be2a6f28fbf053cb512a8dc3ce6690d0b47cd6ec995c14f8680cb7efe
gpt-5.4,derm,65wf,NO_DIAGNOSIS,48,100,965b679be2a6f28fbf053cb512a8dc3ce6690d0b47cd6ec995c14f8680cb7efe
gpt-5.4,derm,65wf,Seborrheic_Keratosis,22,100,965b679be2a6f28fbf053cb512a8dc3ce6690d0b47cd6ec995c14f8680cb7efe
gpt-5.4,derm,65wm,Melanoma,40,100,8ffdf038ff743f161b363689a44cead7d2cb3cb04b4932df46c50f8ef8c94585
gpt-5.4,derm,65wm,NO_DIAGNOSIS,46,100,8ffdf038ff743f161b363689a44cead7d2cb3cb04b4932df46c50f8ef8c94585
gpt-5.4,derm,65wm,Seborrheic_Keratosis,14,100,8ffdf038ff743f161b363689a44cead7d2cb3cb04b4932df46c50f8ef8c94585
gpt-5.4,derm,D0,Benign_Nevus,16,100,df9ef6d82e019aff765aa081f24eee8222aea835c915c227148dc925696e3827
gpt-5.4,derm,D0,Melanoma,3,100,df9ef6d82e019aff765aa081f24eee8222aea835c915c227148dc925696e3827
gpt-5.4,derm,D0,NO_DIAGNOSIS,81,100,df9ef6d82e019aff765aa081f24eee8222aea835c915c227148dc925696e3827
gpt-5.4,mri,32bf,MS,32,100,cea4e731c633d59a59f1a0c83b46f66f270f2cdd6a11f97e2ed85e44f4e5dfba
gpt-5.4,mri,32bf,Meningioma,9,100,cea4e731c633d59a59f1a0c83b46f66f270f2cdd6a11f97e2ed85e44f4e5dfba
gpt-5.4,mri,32bf,NO_DIAGNOSIS,46,100,cea4e731c633d59a59f1a0c83b46f66f270f2cdd6a11f97e2ed85e44f4e5dfba
gpt-5.4,mri,32bf,Neurosarcoidosis,7,100,cea4e731c633d59a59f1a0c83b46f66f270f2cdd6a11f97e2ed85e44f4e5dfba
gpt-5.4,mri,32bf,Other,3,100,cea4e731c633d59a59f1a0c83b46f66f270f2cdd6a11f97e2ed85e44f4e5dfba
